,Movie_Name,Release_Yr,Movie_Rating,Duration,IMDb_Rating,Popularity,Genre,Movie_Desc,Director,Writers,Movie_stars,Oscars_Won,Awards_Won,Nominations
75,Amadeus,1984,PG,2h 40m,8.4,495217,"Biography, Drama, Music","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.",Milos Forman,"['Peter Shaffer', 'Zdenek Mahler']","['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge']",8,0,0
76,Toy Story,1995,G,1h 21m,8.3,77236,"['Animation', 'Adventure', 'Comedy']",A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,John Lasseter,"['John Lasseter', 'Pete Docter', 'Andrew Stanton']","['Tom Hanks', 'Tim Allen', 'Don Rickles']",3,0,0
77,Das Boot,1981,,2h 29m,8.4,"2,054158",DramaWar,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,Wolfgang Petersen,"['Wolfgang Petersen', 'Lothar G. Buchheim']",,6,0,0
78,Avengers: Endgame,2019,PG-13,3h 1m,8.4,25315,"Action, Adventure, Drama","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Anthony Russo, Joe Russo","['Christopher Markus', 'Stephen McFeely', 'Stan Lee']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Paul Rudd', 'Benedict Cumberbatch', 'Chadwick Boseman', 'Brie Larson', 'Tom Holland', 'Karen Gillan', 'Zoe Saldana', 'Evangeline Lilly', 'Tessa Thompson', 'Rene Russo', 'Elizabeth Olsen']",1,0,0
79,Braveheart,1995,R,2h 58m,8.3,48622,"Biography, Drama, War",Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,Mel Gibson,['Randall Wallace'],"['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan']",5,0,0
80,Joker,2019,R,2h 2m,8.4,14825,"['Crime', 'Drama', 'Thriller']","During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",Todd Phillips,"['Todd Phillips', 'Scott Silver', 'Bob Kane']","['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz']",2,0,0
81,Princess Mononoke,1997,PG-13,2h 14m,8.3,"1,211166","Animation, Action, Adventure","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",Hayao Miyazaki,"['Hayao Miyazaki', 'Neil Gaiman']","['Yôji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka', 'Billy Crudup', 'Billy Bob Thornton', 'Minnie Driver', 'John DiMaggio', 'Claire Danes', 'John DeMita', 'Jada Pinkett Smith', 'Gillian Anderson', 'Keith David', 'Corey Burton', 'Tara Strong', 'Julia Fletcher', 'Debi Derryberry', 'Alex Fernandez', 'Jack Fletcher']",0,0,0
82,Good Will Hunting,1997,R,2h 6m,8.3,1874,DramaRomance,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",Gus Van Sant,"['Matt Damon', 'Ben Affleck']","['Robin Williams', 'Matt Damon', 'Ben Affleck']",2,0,0
83,Your Name.,2016,,1h 46m,8.4,82046,"Animation, Drama, Fantasy","Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",Makoto Shinkai,"['Makoto Shinkai', 'Clark Cheng']","['Ryunosuke Kamiki', 'Mone Kamishiraishi', 'Ryo Narita']",0,0,0
84,Once Upon a Time in America,1984,R,3h 49m,8.3,32230,"Crime
Drama","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",Sergio Leone,"['Harry Grey', 'Leonardo Benvenuti', 'Piero De Bernardi']","['Robert De Niro', 'James Woods', 'Elizabeth McGovern']",0,0,0
86,3 Idiots,2009,PG-13,2h 50m,8.4,"1,11874",ComedyDrama,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,"['Abhijat Joshi', 'Rajkumar Hirani', 'Vidhu Vinod Chopra']","['Aamir Khan', 'Madhavan', 'Mona Singh', 'Sharman Joshi', 'Kareena Kapoor', 'Boman Irani', 'Omi Vaidya', 'Jaaved Jaaferi', 'Parikshit Sahni', 'Olivier Lafont', 'Rahul Kumar', 'Amardeep Jha', 'Farida Dadi', 'Mukund Bhatt', 'Chaitali Bose', 'Jayant Kripalani', 'Arun Bali', 'Shoaib Ahmed']",0,0,0
87,Singin' in the Rain,1952,G,1h 43m,8.3,"1,782","Comedy, Musical, Romance",A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,"Stanley Donen, Gene Kelly","['Betty Comden', 'Adolph Green']","['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds']",2,0,0
88,Capernaum,2018,R,2h 6m,8.4,"1,653",Drama,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Nadine Labaki,"['Nadine Labaki', 'Jihad Hojeily', 'Michelle Keserwany']","['Zain Al Rafeea', 'Yordanos Shiferaw', 'Boluwatife Treasure Bankole']",1,0,0
89,Requiem for a Dream,2000,NC-17,1h 42m,8.3,29026,Drama,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Darren Aronofsky,"['Hubert Selby Jr.', 'Darren Aronofsky']","['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly']",1,0,0
90,Come and See,1985,Not Rated,2h 22m,8.4,465355,"Drama
Thriller
War","After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",Elem Klimov,"['Ales Adamovich', 'Elem Klimov']","['Aleksey Kravchenko', 'Olga Mironova', 'Liubomiras Laucevicius']",0,0,0
91,Oppenheimer,2023,R,3h,8.3,121,"Biography, Drama, History",The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,Christopher Nolan,"['Christopher Nolan', 'Kai Bird', 'Martin Sherwin']","['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Florence Pugh']",7,0,0
92,Toy Story 3,2010,G,1h 43m,8.3,"1,370171",AnimationAdventureComedy,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",Lee Unkrich,"['John Lasseter', 'Andrew Stanton', 'Lee Unkrich']","['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Ned Beatty', 'Don Rickles', 'Michael Keaton', 'Wallace Shawn', 'John Ratzenberger', 'Estelle Harris', 'John Morris', 'Jodi Benson', 'Emily Ricks Hahn', 'Laurie Metcalf', 'Blake Clark', 'Teddy Newton', 'Bud Luckey', 'Bea Miller', 'Javier Fernández-Peña']",2,0,0
93,Star Wars: Episode VI - Return of the Jedi,1983,PG,2h 11m,8.3,"1,00781",ActionAdventureFantasy,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.",Richard Marquand,"['Lawrence Kasdan', 'George Lucas']","['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",4,0,0
94,Eternal Sunshine of the Spotless Mind,2004,R,1h 48m,8.3,25172,"Drama, Romance, Sci-Fi","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",Michel Gondry,"['Charlie Kaufman', 'Michel Gondry', 'Pierre Bismuth']","['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson']",1,0,0
95,The Hunt,2012,R,1h 55m,8.3,68262,Drama,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",Thomas Vinterberg,"['Thomas Vinterberg', 'Tobias Lindholm']","['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp']",1,0,0
96,2001: A Space Odyssey,1968,G,2h 29m,8.3,43620,"['Adventure', 'Sci-Fi']","After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000.",Stanley Kubrick,"['Stanley Kubrick', 'Arthur C. Clarke']","['Keir Dullea', 'Gary Lockwood', 'William Sylvester']",1,0,0
98,Ikiru,1952,Not Rated,2h 23m,8.3,"3,920277",Drama,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Akira Kurosawa,"['Akira Kurosawa', 'Shinobu Hashimoto', 'Hideo Oguni']","['Takashi Shimura', 'Nobuo Kaneko', ""Shin'ichi Himori""]",1,0,0
99,Lawrence of Arabia,1962,PG,3h 38m,8.3,935111,"['Adventure', 'Biography', 'Drama']","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",David Lean,"['Robert Bolt', 'Michael Wilson']","[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn']",7,0,0
101,North by Northwest,1959,Approved,2h 16m,8.3,"1,534787","['Action', 'Adventure', 'Mystery']","A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",Alfred Hitchcock,['Ernest Lehman'],"['Cary Grant', 'Eva Marie Saint', 'James Mason']",3,0,0
103,Incendies,2010,R,2h 11m,8.3,45293,DramaMysteryWar,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,Denis Villeneuve,"['Denis Villeneuve', 'Wajdi Mouawad', 'Valérie Beaugrand-Champagne']","['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette']",1,0,0
104,Vertigo,1958,PG,2h 8m,8.3,"1,613,197","['Mystery', 'Romance', 'Thriller']","A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",Alfred Hitchcock,"['Alec Coppel', 'Samuel A. Taylor', 'Pierre Boileau']","['James Stewart', 'Kim Novak', 'Barbara Bel Geddes']",2,0,0
105,M,1931,,1h 39m,8.3,"2,539","Crime, Mystery, Thriller","When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",Fritz Lang,"['Thea von Harbou', 'Fritz Lang', 'Egon Jacobsohn']","['Peter Lorre', 'Ellen Widmann', 'Inge Landgut', 'Otto Wernicke', 'Theodor Loos', 'Gustaf Gründgens', 'Friedrich Gnaß', 'Fritz Odemar', 'Paul Kemp', 'Theo Lingen']",0,0,0
106,Double Indemnity,1944,Passed,1h 47m,8.3,"1,682",CrimeDramaFilm-Noir,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.",Billy Wilder,"['Billy Wilder', 'Raymond Chandler', 'James M. Cain']","['Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson']",7,0,0
108,Amélie,2001,R,2h 2m,8.3,"1,07360",ComedyRomance,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.",Jean-Pierre Jeunet,"['Guillaume Laurant', 'Jean-Pierre Jeunet']","['Audrey Tautou', 'Mathieu Kassovitz', 'Rufus']",5,0,0
109,Full Metal Jacket,1987,R,1h 56m,8.3,626147,"Drama,War",A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Stanley Kubrick,"['Stanley Kubrick', 'Michael Herr', 'Gustav Hasford']","['Matthew Modine', 'R. Lee Ermey', ""Vincent D'Onofrio""]",1,0,0
110,Heat,1995,R,2h 50m,8.3,26345,"['Action', 'Crime', 'Drama']",A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,Michael Mann,['Michael Mann'],"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Tom Sizemore', 'Diane Venora', 'Ashley Judd', 'Mykelti Williamson', 'Wes Studi', 'Ted Levine', 'Dennis Haysbert', 'William Fichtner', 'Natalie Portman']",15,0,0
111,A Clockwork Orange,1971,R,2h 16m,8.3,43032,"Crime, Sci-Fi","In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",Stanley Kubrick,"['Stanley Kubrick', 'Anthony Burgess']","['Malcolm McDowell', 'Patrick Magee', 'Michael Bates']",4,0,0
112,Up,2009,PG,1h 36m,8.3,91963,"Animation, Adventure, Comedy","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","Pete Docter, Bob Peterson","['Pete Docter', 'Bob Peterson', 'Tom McCarthy']","['Edward Asner', 'Jordan Nagai', 'John Ratzenberger', 'Christopher Plummer', 'Bob Peterson', 'Delroy Lindo', 'Jerome Ranft', 'David Kaye', 'Elie Docter', 'Jeremy Leary']",2,0,0
113,To Kill a Mockingbird,1962,Approved,2h 9m,8.3,"1,11987",CrimeDrama,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice.",Robert Mulligan,"['Harper Lee', 'Horton Foote']","['Gregory Peck', 'John Megna', 'Frank Overton']",3,0,0
114,The Sting,1973,PG,2h 9m,8.3,"1,573160","Comedy
Crime
Drama",Two grifters team up to pull off the ultimate con.,George Roy Hill,['David S. Ward'],"['Paul Newman', 'Robert Redford', 'Robert Shaw', 'Ray Walston', 'Charles Durning']",7,0,0
115,A Separation,2011,PG-13,2h 3m,8.3,"3,563",Drama,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Asghar Farhadi,['Asghar Farhadi'],"['Payman Maadi', 'Leila Hatami', 'Sareh Bayat']",1,0,0
116,Indiana Jones and the Last Crusade,1989,PG-13,2h 7m,8.2,1111215,"Action, Adventure","In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",Steven Spielberg,"['Jeffrey Boam', 'George Lucas', 'Menno Meyjes']","['Harrison Ford', 'Sean Connery', 'Alison Doody', 'Denholm Elliott', 'John Rhys-Davies', 'Julian Glover', 'River Phoenix', 'Michael Byrne', 'Kevork Malikyan', 'Robert Eddison', 'Richard Young', 'Alexei Sayle', 'Alex Hyde-White', 'Paul Maxwell', 'Isla Blair', 'Vernon Dobtcheff']",1,0,0
117,Die Hard,1988,R,2h 12m,8.2,77399,ActionThriller,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,John McTiernan,"['Roderick Thorp', 'Jeb Stuart', 'Steven E. de Souza']","['Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia', 'Reginald VelJohnson', 'Paul Gleason', ""De'voreaux White"", 'Argyle', 'William Atherton', 'Hart Bochner', 'James Shigeta', 'Alexander Godunov', 'Bruno Doyon', 'Andreas Wisniewski', 'Clarence Gilyard Jr.', 'Joseph Plewa', 'Lorenzo Caccialanza', 'Gérard Bonn', 'Dennis Hayden', 'Al Leong']",4,0,0
118,Metropolis,1927,Not Rated,2h 33m,8.3,"1,617112","Drama
Sci-Fi","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",Fritz Lang,"['Thea von Harbou', 'Fritz Lang']","['Brigitte Helm', 'Alfred Abel', 'Gustav Fröhlich']",0,0,0
119,Like Stars on Earth,2007,PG,2h 42m,8.3,"4,342583","Drama
Family","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Aamir Khan
Amole Gupte",['Amole Gupte'],"['Darsheel Safary', 'Aamir Khan', 'Tisca Chopra']",27,0,18
120,Hamilton,2020,PG-13,2h 40m,8.3,71168,"Biography, Drama, History","The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the origi...",Thomas Kail,"['Lin-Manuel Miranda', 'Ron Chernow']","['Lin-Manuel Miranda', 'Phillipa Soo', 'Leslie Odom Jr.']",0,0,0
121,Snatch,2000,R,1h 42m,8.2,17520,"Comedy, Crime","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Guy Ritchie,['Guy Ritchie'],"['Jason Statham', 'Brad Pitt', 'Stephen Graham']",0,0,0
122,L.A. Confidential,1997,R,2h 18m,8.2,59816,CrimeDramaMystery,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",Curtis Hanson,"['James Ellroy', 'Brian Helgeland', 'Curtis Hanson']","['Kevin Spacey', 'Russell Crowe', 'Guy Pearce', 'Kim Basinger', 'James Cromwell']",2,0,0
123,1917,2019,R,1h 59m,8.2,65654,"Action
Drama
War","April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Sam Mendes,"['Sam Mendes', 'Krysty Wilson-Cairns']","['Dean-Charles Chapman', 'George MacKay', 'Daniel Mays']",3,0,0
124,Bicycle Thieves,1948,Not Rated,1h 29m,8.3,175K,Drama,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",Vittorio De Sica,"['Cesare Zavattini', 'Luigi Bartolini', 'Oreste Biancoli']","['Lamberto Maggiorani', 'Enzo Staiola', 'Lianella Carell']",1,0,0
126,Downfall,2004,R,2h 36m,8.2,"1,004139","['Biography', 'Drama', 'History']","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",Oliver Hirschbiegel,"['Bernd Eichinger', 'Joachim Fest', 'Traudl Junge']","['Bruno Ganz', 'Alexandra Maria Lara', 'Ulrich Matthes', 'Juliane Köhler', 'Corinna Harfouch', 'Heino Ferch', 'Christian Berkel', 'Matthias Habich', 'Thomas Kretschmann', 'Michael Mendl', 'André Hennicke', 'Ulrich Noethen', 'Birgit Minichmayr', 'Rolf Kanies', 'Justus von Dohnányi', 'Dieter Mann', 'Christian Redl', 'Götz Otto']",1,0,0
127,Dangal,2016,Not Rated,2h 41m,8.3,"3,338","Action, Biography, Drama",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Nitesh Tiwari,"['Piyush Gupta', 'Shreyas Jain', 'Nikhil Mehrotra']","['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra', 'Aparshakti Khurana', 'Zaira Wasim', 'Girish Kulkarni']",0,0,0
128,For a Few Dollars More,1965,R,2h 12m,8.2,"2,115527",DramaWestern,"Two bounty hunters with the same intentions team up to track down a gang of outlaws led by a psychotic Mexican bandit, who is plotting an audacious bank robbery.",Sergio Leone,"['Sergio Leone', 'Fulvio Morsella', 'Luciano Vincenzoni']","['Clint Eastwood', 'Lee Van Cleef', 'Gian Maria Volontè']",0,0,0
129,Batman Begins,2005,PG-13,2h 20m,8.2,35122,"Action, Crime, Drama","After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",Christopher Nolan,"['Bob Kane', 'David S. Goyer', 'Christopher Nolan']","['Christian Bale', 'Michael Caine', 'Ken Watanabe']",1,0,0
132,Green Book,2018,PG-13,2h 10m,8.2,2213,"Biography, Comedy, Drama",A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,Peter Farrelly,"['Nick Vallelonga', 'Brian Hayes Currie', 'Peter Farrelly']","['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini']",3,0,0
134,The Father,2020,PG-13,1h 37m,8.2,"1,003","Drama, Mystery","A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",Florian Zeller,"['Christopher Hampton', 'Florian Zeller']","['Anthony Hopkins', 'Olivia Colman', 'Mark Gatiss']",2,0,0
135,Judgment at Nuremberg,1961,Approved,2h 59m,8.3,"3,167","Drama, War","In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",Stanley Kramer,"['Abby Mann', 'Montgomery Clift']","['Spencer Tracy', 'Burt Lancaster', 'Richard Widmark', 'Marlene Dietrich', 'Maximilian Schell', 'Judy Garland', 'Montgomery Clift', 'William Shatner']",2,0,0
136,All About Eve,1950,,2h 18m,8.2,"3,279",Drama,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,Joseph L. Mankiewicz,"['Joseph L. Mankiewicz', 'Mary Orr']","['Bette Davis', 'Anne Baxter', 'George Sanders']",6,0,0
137,The Truman Show,1998,PG,1h 43m,8.2,406103,"Comedy
Drama",An insurance salesman discovers his whole life is actually a reality TV show.,Peter Weir,['Andrew Niccol'],"['Jim Carrey', 'Ed Harris', 'Laura Linney']",3,0,0
139,Shutter Island,2010,R,2h 18m,8.2,33733,DramaMysteryThriller,"Two US marshals investigate the disappearance of a patient from a mental institution on a remote island, and uncover a shocking secret.",Martin Scorsese,"['Laeta Kalogridis', 'Dennis Lehane']","['Leonardo DiCaprio', 'Emily Mortimer', 'Mark Ruffalo', 'Ben Kingsley', 'Max von Sydow', 'Michelle Williams', 'Patricia Clarkson', 'Jackie Earle Haley', 'Ted Levine', 'John Carroll Lynch', 'Elias Koteas', 'Robin Bartlett', 'Christopher Denham', 'Nellie Sciutto', 'Joseph Sikora', 'Glen Miga', 'Curtiss Cook', 'Trey Washington', 'Raymond Anthony Thomas', 'Joseph McKenna']",0,0,0
140,There Will Be Blood,2007,R,2h 38m,8.2,5672,Drama,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Paul Thomas Anderson,"['Paul Thomas Anderson', 'Upton Sinclair']","['Daniel Day-Lewis', 'Paul Dano', 'Ciarán Hinds', 'Matthew Braden Stringer', 'Jacob Stringer', 'Joseph Mussey', 'Barry Del Sherman', 'Harrison Taylor', 'Paul F. Tompkins', 'Dillon Freasier', 'Kevin Breznahan', 'Jim Meskimen', 'Erica Sullivan', 'Randall Carver', 'Coco Leigh', 'Sydney McCallister']",2,0,0
141,Casino,1995,R,2h 58m,8.2,64617,CrimeDrama,"In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite.",Martin Scorsese,"['Nicholas Pileggi', 'Martin Scorsese']","['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods', 'Don Rickles', 'Alan King', 'Kevin Pollak', 'L.Q. Jones', 'Dick Smothers', 'SenatorFrank Vincent', 'Frank Marino', 'John Bloom', 'Don Ward', 'Pasquale Cajano', 'Remo Gaggi', 'Melissa Prophet', 'Bill Allison', 'John Nance', 'Vinny Vella', 'Artie Piscano', 'Philip Suriano', 'Erika von Tagen', 'Frankie Avalon']",1,0,0
144,The Sixth Sense,1999,PG-13,1h 47m,8.2,56283,DramaMysteryThriller,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife.",M. Night Shyamalan,['M. Night Shyamalan'],"['Bruce Willis', 'Haley Joel Osment', 'Toni Collette']",6,0,0
145,Pan's Labyrinth,2006,R,1h 58m,8.2,99125,"['Drama', 'Fantasy', 'War']","In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",Guillermo del Toro,['Guillermo del Toro'],"['Ivana Baquero', 'Ariadna Gil', 'Sergi López']",3,0,0
146,Unforgiven,1992,R,2h 10m,8.2,930139,DramaWestern,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",Clint Eastwood,['David Webb Peoples'],"['Clint Eastwood', 'Gene Hackman', 'Morgan Freeman', 'Richard Harris', 'Jaimz Woolvett', 'Saul Rubinek', 'Frances Fisher', 'Anna Thomson', 'David Mucci', 'Rob Campbell', 'Anthony James', 'Tara Frederick', 'Beverley Elliott', 'Liisa Repo-Martell', 'Josie Smith', 'Shane Meier', 'Aline Levasseur', 'Cherrilene Cardinal']",4,0,0
147,No Country for Old Men,2007,R,2h 2m,8.2,19827,"['Crime', 'Drama', 'Thriller']",Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,"['Ethan Coen', 'Joel Coen']","['Joel Coen', 'Ethan Coen', 'Cormac McCarthy']","['Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin']",4,0,0
148,A Beautiful Mind,2001,PG-13,2h 15m,8.2,67535,"Biography, Drama, Mystery","A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.",Ron Howard,"['Akiva Goldsman', 'Sylvia Nasar']","['Russell Crowe', 'Ed Harris', 'Jennifer Connelly']",4,0,0
149,The Thing,1982,R,1h 49m,8.2,672100,"Horror, Mystery, Sci-Fi",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,John Carpenter,"['Bill Lancaster', 'John W. Campbell Jr.']","['Kurt Russell', 'Wilford Brimley', 'Keith David']",0,0,0
150,The Treasure of the Sierra Madre,1948,Passed,2h 6m,8.2,132K,AdventureDramaWestern,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,John Huston,"['John Huston', 'B. Traven']","['Humphrey Bogart', 'Walter Huston', 'Tim Holt']",3,0,0
151,Kill Bill: Vol. 1,2003,R,1h 51m,8.2,208225,"Action, Drama, Thriller","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Quentin Tarantino,"['Quentin Tarantino', 'Uma Thurman']","['Uma Thurman', 'David Carradine', 'Daryl Hannah']",0,0,0
154,The Great Escape,1963,Approved,2h 52m,8.2,981168,AdventureDramaThriller,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,John Sturges,"['Paul Brickhill', 'James Clavell', 'W.R. Burnett']","['Steve McQueen', 'James Garner', 'Richard Attenborough', 'Charles Bronson', 'James Donald', 'Donald Pleasence', 'James Coburn', 'Hannes Messemer', 'David McCallum', 'Gordon Jackson', 'John Leyton', 'Angus Lennie', 'Nigel Stock', 'Robert Graf', 'Jud Taylor', 'Hans Reiser', 'Harry Riebauer', 'William Russell']",1,0,0
156,Rashomon,1950,Not Rated,1h 28m,8.2,"3,839564",CrimeDramaMystery,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",Akira Kurosawa,"['Ryûnosuke Akutagawa', 'Akira Kurosawa', 'Shinobu Hashimoto']","['Toshirô Mifune', 'Machiko Kyô', 'Masayuki Mori']",1,0,0
157,Prisoners,2013,R,2h 33m,8.2,19559,"['Crime', 'Drama', 'Mystery']","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",Denis Villeneuve,['Aaron Guzikowski'],"['Hugh Jackman', 'Jake Gyllenhaal', 'Viola Davis']",1,0,0
